Identifier,Mean_GFP_Intensity,Total_GFP_Intensity
A3_03_002,1001.554614047802,413218398
A3_03_003,1001.5469501901583,412925789
A3_03_004,976.9660448558551,402322433
A3_03_005,960.3413851729883,394266235
A3_03_006,946.8987838491296,391637337
A3_03_007,941.1096677723064,386440334
A3_03_008,931.8077632394212,383490144
A3_03_009,924.0626855711481,382181238
A3_03_010,939.6929076740936,387333899
A3_03_011,914.9450274510185,376296761
A3_03_012,910.7456950227653,374454914
A3_03_013,886.7317059599125,366526117
A3_03_014,918.1195557252911,377436195
A3_03_015,875.0420320884141,360887460
A3_03_016,891.1306153696593,366664603
A3_03_017,864.7142721712836,355733075
A3_03_018,879.0516559540987,361875679
A3_03_019,877.8964909294295,361008595
A3_03_020,874.115814510576,360523823
A3_03_021,869.3640218020334,359037778
A3_03_022,868.9401077171506,359459668
A3_03_023,865.7658386006174,359278105
A3_03_024,881.5126816013526,364968288
A3_03_025,841.5306555751699,347998172
A3_03_026,860.5144767279907,355250494
A3_03_027,860.4045111542991,355059688
A3_03_028,877.0190289479054,361012605
A3_03_029,876.2629440070735,360737300
A3_03_030,874.7228922657146,361615692
A3_03_031,857.7746588656207,354352716
A3_03_032,856.1486747857072,353677586
A3_03_033,856.285514511618,353923354
A3_03_034,855.7900865299944,352779780
A3_03_035,854.1528304537154,352681412
A3_03_036,852.8209334683442,351207864
A3_03_037,835.5181684514971,344927801
A3_03_038,855.6666950188461,352099144
A3_03_039,855.0467289266222,352493014
A3_03_040,855.4439354439743,352746584
A3_03_041,857.6130614803692,352947225
A3_03_042,839.2249610749863,345499685
A3_03_043,875.6421969845785,361068433
A3_03_044,841.6217970352924,346617729
A3_03_045,840.7088926418071,347471711
A3_03_046,859.1694206557671,354245003
A3_03_047,845.0494812915258,347984616
A3_03_048,861.8874115215268,355675940
A3_03_049,882.3078277729198,362232361
A3_03_050,865.8712153031521,356642829
A3_03_051,885.7836943361342,365066006
A3_03_052,868.9883661452159,358460308
A3_03_053,871.559992203109,357705652
A3_03_054,893.864545833445,366733852
A3_03_055,857.9024256740483,352650229
A3_03_056,873.9517008468474,360479732
A3_03_057,874.9752029684745,361252762
A3_03_058,860.5190970573265,353340328
A3_03_059,879.7943591704892,361161743
A3_03_060,880.6910639701566,363096596
A3_03_061,881.7626004382761,364554166
A4_03_001,1048.2398392865437,451351110
A4_03_002,1035.9478103724214,445982784
A4_03_003,1032.5638408461416,444001419
A4_03_004,1017.4738658054856,437622632
A4_03_005,1005.7404873029459,435935197
A4_03_006,996.493988434784,433055361
A4_03_007,984.6920071837218,425473600
A4_03_008,983.2080848382544,422866982
A4_03_009,973.6476424902861,420473629
A4_03_010,982.397438669168,422594959
A4_03_011,960.6345077363684,413241910
A4_03_012,953.2398065749627,409830203
A4_03_013,933.2332182058275,400710746
A4_03_014,966.9694807004505,416357719
A4_03_015,929.3231325306803,400063386
A4_03_016,945.495233064346,408093707
A4_03_017,924.0903161516159,399681999
A4_03_018,942.6577995969584,406493839
A4_03_019,940.801826772525,407989061
A4_03_020,941.4448210173942,407227606
A4_03_021,941.9945809639937,408675871
A4_03_022,944.8289413598897,409672160
A4_03_023,950.9350009680363,412580267
A4_03_024,972.9137759498179,423426669
A4_03_025,939.2903299334607,407961969
A4_03_026,965.4584813473588,419902030
A4_03_027,979.3172526986353,427216379
A4_03_028,1011.2485469818754,440719308
A4_03_029,1028.791824915639,446950378
A4_03_030,1050.352882070667,456812123
A4_03_031,1049.3473467254194,457702227
A4_03_032,1075.9858764904134,468988888
A4_03_033,1107.9040232971208,482782473
A4_03_034,1152.9633885039627,502042919
A4_03_035,1194.4438477670437,521141823
A4_03_036,1237.396477259406,538340474
A4_03_037,1260.5619445164755,549313818
A4_03_038,1339.413803240661,583187467
A4_03_039,1388.5699791340037,604912460
A4_03_040,1449.2103358971951,632886095
A4_03_041,1544.7584263487424,674543483
A4_03_042,1589.0942090686442,694259369
A4_03_043,1687.523480792604,737260446
A4_03_044,1696.007296915852,741445206
A4_03_045,1711.3205553892456,748879009
A4_03_046,1747.0292834164975,764653753
A4_03_047,1813.6937725472994,793837441
A4_03_048,1868.1969875103587,818350613
A4_03_049,1907.1558080957877,835910205
A4_03_050,1931.8554978931431,847250002
A4_03_051,1964.4298013939824,861316033
A4_03_052,2024.044416321784,887654799
A4_03_053,2005.436018513442,877851541
A4_03_054,1987.8928868552412,869758799
A4_03_055,1897.8199707340013,831341936
A4_03_056,1863.9356816726047,817695536
A4_03_057,1929.1805161966377,846871663
A4_03_058,1875.8741671066286,824319137
A4_03_059,1883.1363960972503,827996242
A4_03_060,1883.8064012188465,828422703
A4_03_061,1995.8477203819994,878801689
A5_03_001,1463.1889735199793,540185958
A5_03_002,1419.7851248327772,528526371
A5_03_003,1387.0526407708037,516237413
A5_03_004,1353.048909368865,498291381
A5_03_005,1318.1954521699367,484283918
A5_03_006,1295.1289775900825,475344713
A5_03_007,1279.0925013340884,469800443
A5_03_008,1262.7599098466096,467266626
A5_03_009,1238.3702566624956,458220524
A5_03_010,1238.3862245381335,457490831
A5_03_011,1201.4246527438925,443195943
A5_03_012,1187.251687939264,438025825
A5_03_013,1156.4582389048187,427111252
A5_03_014,1182.1281664255057,435445185
A5_03_015,1128.0871041397259,416983861
A5_03_016,1132.3784226279072,418443269
A5_03_017,1099.4821588953935,406425779
A5_03_018,1105.2028719779328,408681918
A5_03_019,1093.205435494257,405746477
A5_03_020,1082.086147347095,401646572
A5_03_021,1071.5416705853902,398768875
A5_03_022,1062.7151344169886,395147243
A5_03_023,1053.0037227341952,392040657
A5_03_024,1060.3045796543972,394727008
A5_03_025,1017.4619201999042,377862973
A5_03_026,1026.970018057855,382742483
A5_03_027,1018.0523677299522,378738896
A5_03_028,1030.073765025412,383053531
A5_03_029,1024.128285268943,379769299
A5_03_030,1017.4155439356402,378639334
A5_03_031,993.0353481349339,369619673
A5_03_032,987.7801682198534,365470760
A5_03_033,980.8720804568037,364860873
A5_03_034,976.8954131298185,363785106
A5_03_035,971.7800352574681,362169786
A5_03_036,967.3855764532808,360353062
A5_03_037,944.9789184013389,352323105
A5_03_038,962.279596324829,356616007
A5_03_039,957.2555307772911,356280936
A5_03_040,955.5874788594327,354832565
A5_03_041,953.6238511183566,355363160
A5_03_042,933.0563597952996,347149217
A5_03_043,969.3023022081527,360697742
A5_03_044,934.0194333336927,346532418
A5_03_045,930.3281127411468,346249517
A5_03_046,947.1930959970616,353303972
A5_03_047,930.7960623042911,346298021
A5_03_048,946.6118938066417,352211567
A5_03_049,965.7287431952917,358704490
A5_03_050,948.5734475881237,352901574
A5_03_051,964.6599221518869,360098867
A5_03_052,951.2141890497667,354956038
A5_03_053,947.280582420232,353591423
A5_03_054,966.9585439186194,359879730
A5_03_055,936.5346745302104,349513804
A5_03_056,954.3726269469487,356122237
A5_03_057,955.1819878124304,356285747
A5_03_058,941.9672507267169,350620934
A5_03_059,957.2013772177414,357104075
A5_03_060,960.7514587109714,358294963
A5_03_061,964.2301674867855,359182487
A6_03_001,1005.4537037551152,362166435
A6_03_002,974.1098254780957,379938874
A6_03_003,977.8036095013691,383861252
A6_03_004,954.7944081461821,380971562
A6_03_005,943.369126829512,377706131
A6_03_006,932.3909024299666,371580152
A6_03_007,926.2706904493159,366001043
A6_03_008,919.314687539452,364094582
A6_03_009,913.6325867776886,364283585
A6_03_010,926.2259983050252,369403010
A6_03_011,903.6074683346836,359127945
A6_03_012,903.0455780557411,356934183
A6_03_013,883.9057352941177,348612422
A6_03_014,916.7304294142209,357863141
A6_03_015,884.9700469383966,333713355
A6_03_016,891.0060678567996,352269941
A6_03_017,997.9711662675455,195449659
A6_03_018,902.6678233315296,323608220
A6_03_019,971.8417458650451,224865715
A6_03_020,886.4319338258417,343887723
A6_03_021,997.9988708610956,196216558
A6_03_022,883.6928020695696,349109911
A6_03_023,883.3501088841184,342358235
A6_03_024,1013.6626250855015,200061524
A6_03_025,861.9086400337936,338706824
A6_03_026,877.182638252038,345300314
A6_03_027,881.6349485770472,333551595
A6_03_028,892.8306336862378,353265404
A6_03_029,903.0810128502394,333395836
A6_03_030,890.7934303910362,354575871
A6_03_031,875.4446866402712,347806295
A6_03_032,875.4839299679287,343682598
A6_03_033,877.2019168733241,348066703
A6_03_034,958.7753683462747,213244106
A6_03_035,877.7626779393414,344688626
A6_03_036,876.4690554566948,347732086
A6_03_037,858.8943191679348,341466320
A6_03_038,880.0771206607824,349483025
A6_03_039,882.5401279983874,350262526
A6_03_040,882.3089968757704,350751354
A6_03_041,883.4751467552534,350517881
A6_03_042,865.4835388260808,344801718
A6_03_043,902.7896840569503,358895011
A6_03_044,869.5920004459399,343203614
A6_03_045,872.8720351633771,347328003
A6_03_046,889.7824110830829,354144077
A6_03_047,873.5047812577709,347757103
A6_03_048,893.0283714852878,355398501
A6_03_049,916.9022887611355,365076566
A6_03_050,899.2212750557912,357810936
A6_03_051,916.9665820472187,363379185
A6_03_052,903.341687101644,358434238
A6_03_053,904.1662212191906,356566991
A6_03_054,922.2379127217708,366937254
A6_03_055,887.2165110171646,352360699
A6_03_056,912.2144177122517,361337253
A6_03_057,911.9895870781221,362766658
A6_03_058,896.501534128062,356466940
A6_03_059,916.4303711072773,363873261
A6_03_060,918.1437309561583,364604057
A6_03_061,922.2681600120878,366228075
B1_03_001,1833.467182053215,724773244
B1_03_002,1823.2705866604704,721898463
B1_03_003,1841.3633792012274,729701004
B1_03_004,1834.3271290467967,724452825
B1_03_005,1794.8919336535148,708580258
B1_03_006,1756.6952008661926,691164700
B1_03_007,1691.141985480555,662971628
B1_03_008,1671.9989624408706,654258210
B1_03_009,1616.7714926227748,632487475
B1_03_010,1595.4822452724438,623420328
B1_03_011,1531.3001639583274,598666393
B1_03_012,1486.2389138603623,580625984
B1_03_013,1419.7881138272944,555006532
B1_03_014,1410.1379640387559,551017050
B1_03_015,1342.171386071048,525133950
B1_03_016,1308.1666129180871,511111161
B1_03_017,1262.3274991568123,494039638
B1_03_018,1242.160235605241,485675957
B1_03_019,1211.8019200106298,474241105
B1_03_020,1169.5754285728888,457721531
B1_03_021,1153.007304157594,451153310
B1_03_022,1138.0896856293157,445829563
B1_03_023,1121.7330293857895,445818210
B1_03_024,1121.2258357535532,450534329
B1_03_025,1074.1410422563185,432642529
B1_03_026,1076.2824879738357,434722336
B1_03_027,1068.8404995672067,432185656
B1_03_028,1075.5672310855425,435243338
B1_03_029,1063.3332987864162,430911566
B1_03_030,1054.4711379797695,427513179
B1_03_031,1028.1641676704528,417396610
B1_03_032,1014.5317264375504,412573530
B1_03_033,1008.6996486817587,410866567
B1_03_034,997.9858405430326,406962658
B1_03_035,993.9428046179867,405498846
B1_03_036,986.8366520104349,402871129
B1_03_037,966.0874899191085,395313340
B1_03_038,980.2206881576668,401769915
B1_03_039,978.362963921048,400901835
B1_03_040,977.5341012057844,400244495
B1_03_041,972.7419853610788,399491515
B1_03_042,955.6776624789863,391687357
B1_03_043,992.8046428588826,407611831
B1_03_044,953.347925342004,391718269
B1_03_045,949.8735271357444,390335328
B1_03_046,973.0005010519659,400034561
B1_03_047,953.4004837922316,392559789
B1_03_048,971.2418194487947,400016627
B1_03_049,992.006756969869,408872449
B1_03_050,972.5428574199947,401056251
B1_03_051,989.718522923405,409428738
B1_03_052,972.5241389820914,402019111
B1_03_053,976.4351750434616,403836989
B1_03_054,990.9750475020911,409932684
B1_03_055,957.3835817443222,397350567
B1_03_056,977.7498756309014,404876446
B1_03_057,979.2256882417126,405638366
B1_03_058,958.6035558681217,398013155
B1_03_059,977.3741634424973,405702151
B1_03_060,975.4567872754055,405925612
B1_03_061,979.1705023788792,407082303
B2_03_001,1760.649396897505,731727650
B2_03_002,1751.062161746839,729278867
B2_03_003,1773.570820635115,738509569
B2_03_004,1787.0266641845533,739160691
B2_03_005,1796.55878444977,743660357
B2_03_006,1805.4614121391005,743209163
B2_03_007,1766.7521674111288,723032724
B2_03_008,1753.4089783659715,718091113
B2_03_009,1711.9955146237892,702298224
B2_03_010,1713.4948316924656,704354326
B2_03_011,1650.0204972164877,674587780
B2_03_012,1634.2771810959403,665258675
