Identifier,Mean_GFP_Intensity,Total_GFP_Intensity,Mean_GFP_Head,Total_GFP_Head,Mean_GFP_Tail,Total_GFP_Tail
B5_03_014,3418.654122112097,1381772135,5415.973721341404,940424261,1914.3509739879503,441347874
B5_03_015,3363.2107941741965,1362648575,5357.300458940119,930354155,1867.3463728175134,432294420
B5_03_016,3358.498646751587,1361270030,5360.611734646795,929444305,1861.8233615162737,431825725
B5_03_017,3309.795661399916,1342959519,5316.103622252462,921961219,1812.109329602927,420998300
B5_03_018,3311.1089134305685,1342581820,5299.343901453958,918482285,1826.7711429285227,424099535
B5_03_019,3270.2371999684437,1326486694,5210.105407593251,907501370,1810.3175468689915,418985324
B5_03_020,3237.192568124703,1315196885,5155.610354457819,899030178,1794.6110229497451,416166707
B5_03_021,3215.0134496100227,1308751600,5131.716750046108,890373383,1791.2250108104174,418378217
B5_03_022,3189.7301289710645,1294727408,5053.748183908046,879352184,1791.1438908173607,415375224
B5_03_023,3183.8689356001405,1297627175,5075.016770814189,883621320,1773.4164985371663,414005855
B5_03_024,3172.6681781631382,1290200414,5017.443864589919,872985058,1793.1558122842985,417215356
B5_03_025,3116.4668191100404,1274307700,4941.64603492667,865613311,1748.5897667374043,408694389
B5_03_026,3147.3162511485452,1284498445,5007.669039819632,872891798,1760.40205890152,411606647
B5_03_027,3118.9963789479866,1274799319,4946.0683139035045,862960323,1758.1398950680266,411838996
B5_03_028,3135.5466709034026,1282814854,4979.056937563079,868267865,1766.0136877172654,414546989
B5_03_029,3140.976651672552,1286211093,4975.418044529168,871747971,1769.0704063034877,414463122
B5_03_030,3152.0085404295874,1289896455,4999.887280478675,874895276,1771.639248314813,415001179
B5_03_031,3122.818764460672,1279518778,4977.303645555994,869291059,1745.048383323195,410227719
B5_03_032,3111.7996734229027,1278728728,4944.414278704053,866528380,1749.0202524663202,412200348
B5_03_033,3161.4329911969903,1298258265,5070.8497995917505,886856134,1744.98914583351,411402131
B5_03_034,3167.5693516270035,1304405059,5063.893498198214,889518468,1756.9443298707129,414886591
B5_03_035,3199.3254689107266,1315623420,5130.089699859684,899397066,1764.411147048974,416226354
B5_03_036,3250.1596775171242,1340447105,5249.352926433312,921550153,1768.4677333558493,418896952
B5_03_037,3312.0951150462197,1367633627,5402.613283968647,947045693,1769.9501066797966,420587934
B5_03_038,3400.4563462665174,1404544892,5523.665789518457,973982465,1818.8910259930635,430562427
B5_03_039,3480.652308249789,1440816023,5688.901445936283,1002486835,1843.7954839903757,438329188
B5_03_040,3548.358158000358,1467579644,5789.810840707964,1020627855,1883.377251236758,446951789
B5_03_041,3626.4426141822996,1498362680,5912.560829950896,1041527153,1927.3971487878762,456835527
B5_03_042,3727.53744756615,1540881975,6110.58889777309,1077559578,1954.658160187314,463322397
B5_03_043,3919.075393964612,1619996843,6427.355832771791,1135051758,2048.2127214748803,484945085
B5_03_044,4029.809504461036,1666201306,6661.2349612679445,1177220071,2065.460437945105,488981235
B5_03_045,4225.746325853829,1744459921,7028.233780925124,1242577676,2126.448485079591,501882245
B5_03_046,4369.438227205928,1801807764,7226.338528970959,1277725047,2224.922488123591,524082717
B5_03_047,4510.58269124098,1862162490,7489.03691602016,1322489029,2284.3031030293796,539673461
B5_03_048,4738.522123550908,1956682679,7837.728387475053,1390209235,2404.825345882313,566473444
B5_03_049,4958.20604297268,2050079369,8166.792402109962,1449148311,2546.015972681207,600931058
